"","region","region_code","geography","year","P","G","E","F","g","e","f","ef","G_ppp","G_mer"
"4894","Middle East",NA,"region",1993,0.144514079,1.06148345639817,12.0753506949962,795.110412351772,7.34519061217674,11.3759198244788,65.8457408347779,749.055868519841,2.05080082299409,1.06148345639817
"4895","Middle East",NA,"region",1994,0.148293321,1.09266217548729,13.4762150341529,891.364470018111,7.3682494135207,12.3333774486547,66.1435327173926,815.773154791045,2.09931795461589,1.09266217548729
"4896","Middle East",NA,"region",1995,0.15355928,1.12684585544705,13.9461954929624,917.020811679539,7.33818142053705,12.3763116539392,65.7541916820462,813.794368809863,2.15540764381452,1.12684585544705
"4897","Middle East",NA,"region",1996,0.157106258,1.17631947679151,14.3935516393495,938.826923204133,7.48741324353553,12.2360905547605,65.2255222844058,798.105397153541,2.24828251597598,1.17631947679151
"4898","Middle East",NA,"region",1997,0.16060599,1.21804128385564,15.0779714990877,984.107184063315,7.58403396944064,12.3788673659395,65.2678766585321,807.942388412467,2.32032296049146,1.21804128385564
"4899","Middle East",NA,"region",1998,0.16404635,1.27049272255289,15.3273633760464,990.977590620063,7.74471801751695,12.0641095410983,64.6541460724266,779.994700503928,2.41985409786908,1.27049272255289
"4900","Middle East",NA,"region",1999,0.167565143,1.28474999575934,15.6013156783307,1006.96149721582,7.66716736403427,12.1434642769621,64.5433704424316,783.7801132824,2.43741710204773,1.28474999575934
"4901","Middle East",NA,"region",2000,0.171202998,1.39906913985589,16.3900849917899,1059.43125750871,8.17198972097374,11.7149928655264,64.6385456841374,757.240101527673,2.63388671897742,1.39906913985589
"4902","Middle East",NA,"region",2001,0.174936524,1.40784908773458,17.1884810448821,1101.07013669812,8.04777101741533,12.209036603874,64.0586060992262,782.093866658599,2.64761283988795,1.40784908773458
"4903","Middle East",NA,"region",2002,0.178769023,1.42487304317143,18.1352853181225,1151.41838656229,7.9704694877223,12.7276499510143,63.4905029815926,808.084897163543,2.67660013533245,1.42487304317143
"4904","Middle East",NA,"region",2003,0.182771235,1.50095588627655,18.9311075003981,1199.65590118395,8.21221067022144,12.6127007951985,63.3695572833612,799.261265539226,2.82939937351768,1.50095588627655
"4905","Middle East",NA,"region",2004,0.187030332,1.63676387483862,20.4002702205817,1285.06619807037,8.75132850022755,12.4637832824805,62.992606675076,785.126197996684,3.08761147480525,1.63676387483862
"4906","Middle East",NA,"region",2005,0.191591801,1.71765129446178,21.8017044869256,1366.56790682393,8.96516075059902,12.6927418604817,62.6817003066642,795.602641368565,3.23903625139653,1.71765129446178
"4907","Middle East",NA,"region",2006,0.196489721,1.82532132829381,22.9125225983584,1434.1371837788,9.28965301087587,12.5525967637575,62.5918502697538,785.690257133704,3.4296962358843,1.82532132829381
"4908","Middle East",NA,"region",2007,0.201680128,1.91902335776889,24.2058560739669,1513.67576550247,9.51518316057837,12.6136328544272,62.5334530981701,788.774018499862,3.60114082344608,1.91902335776889
"4909","Middle East",NA,"region",2008,0.207037194,2.0038108711507,25.952509694056,1622.53668066438,9.67850670904428,12.9515764524985,62.5194518677317,809.725460633229,3.76219841260806,2.0038108711507
"4910","Middle East",NA,"region",2009,0.212414072,2.00063784123938,26.7446401691499,1657.96573392621,9.41857487313448,13.3680567356368,61.9924487089821,828.718571522726,3.75655475067519,2.00063784123938
"4911","Middle East",NA,"region",2010,0.217588392,2.10680591409766,28.1838412446644,1738.52207136914,9.68252899308001,13.3775214204938,61.6850647247478,825.19327467986,3.95193349818886,2.10680591409766
"4912","Middle East",NA,"region",2011,0.222566396,2.23902051585999,29.2532053852418,1784.60939427093,10.0600115565514,13.0651796971167,61.0056016347278,797.049147888437,4.21234721518076,2.23902051585999
"4913","Middle East",NA,"region",2012,0.227373414,2.29771867287411,30.4455250574243,1854.04554451908,10.1054852124185,13.2503275604848,60.8971446878354,806.907114612055,4.31624637654761,2.29771867287411
"4914","Middle East",NA,"region",2013,0.23201813,2.36916675930843,31.3392553207992,1918.93999635963,10.2111277222535,13.2279651475219,61.2311931702497,809.964089197241,4.44622450888139,2.36916675930843
"4915","Middle East",NA,"region",2014,0.236531757,2.45076563584736,32.2748114961026,1954.37856022899,10.3612540951419,13.1692769900225,60.5542982168927,797.456326154689,4.60217658786696,2.45076563584736
"4916","Middle East",NA,"region",2015,0.240944278,2.5037814280971,33.2147429714038,2002.12333746046,10.3915372005518,13.2658316731135,60.2781523609617,799.639822786804,4.71643168200216,2.5037814280971
"4917","Middle East",NA,"region",2016,0.24522139,2.64200826257811,34.3348355919381,2066.33681099443,10.7739714817623,12.9957336160764,60.1819340436747,782.108383331877,4.98775717122401,2.64200826257811
"4918","Middle East",NA,"region",2017,0.249359985,2.66898632777682,34.9108263790752,2077.3369863924,10.7033465204003,13.0801817962682,59.5040909039469,778.324326645297,5.03517577398732,2.66898632777682
"4919","Middle East",NA,"region",2018,0.253503399,2.14510735136751,35.6433640189976,2106.20011221645,8.4618484794656,16.6161213313054,59.0909463846863,981.862334709607,3.92822538636719,2.14510735136751
"4920","Middle East",NA,"region",2019,0.257819684,2.14341686281487,36.7536288157096,2164.13136415004,8.31362768567692,17.1472145495032,58.8821140628438,1009.6642429639,3.94756639546087,2.14341686281487
"4921","Non-OECD",NA,"region",1960,2.22281884,1.37419323461298,NA,NA,0.61822097684442,NA,NA,NA,NA,1.37419323461298
"4922","Non-OECD",NA,"region",1961,2.251124274,1.42204529262303,NA,NA,0.631704481643836,NA,NA,NA,NA,1.42204529262303
"4923","Non-OECD",NA,"region",1962,2.292731337,1.47715802664571,NA,NA,0.644278726777707,NA,NA,NA,NA,1.47715802664571
"4924","Non-OECD",NA,"region",1963,2.346494429,1.54017487950834,NA,NA,0.6563726981294,NA,NA,NA,NA,1.54017487950834
