"","region","region_code","geography","year","P","G","E","F","g","e","f","ef"
"68","Brazil","BRA","nation",2030,0.22580191472295,3.02940228741491,13.6183433844073,545.509235550452,13.4161939730753,4.49538954960923,40.0569452650936,180.071573133971
"69","Brazil","BRA","nation",2035,0.23036557380786,3.24396818647927,14.3965344349448,566.614646551941,14.081827127455,4.43793946406411,39.3577113375697,174.667140360244
"70","Brazil","BRA","nation",2040,0.233639503151383,3.47225999232201,15.3303636955899,601.655687784079,14.8616134920995,4.41509671784054,39.2460152760209,173.27495323348
"71","Brazil","BRA","nation",2045,0.235623702753518,3.68935019608124,16.264192956235,639.423265365691,15.6578058699834,4.40841668365082,39.3147859894618,173.315958470105
"72","Brazil","BRA","nation",2050,0.236318172614265,3.89082126454094,17.1202031118263,674.96922073662,16.4643337475862,4.40015152272646,39.4253044971391,173.477313617041
"73","Bulgaria","BGR","nation",2015,0.007177991,0.054991023398154,0.758450977513283,46.0525978139447,7.66106051096386,13.7922688221646,60.7192807173067,837.456642341569
"74","Bulgaria","BGR","nation",2020,0.00715934686753247,0.0619366509661969,0.767118988684863,46.261103670189,8.65115940213467,12.3855419483939,60.3049909499676,746.909995108338
"75","Bulgaria","BGR","nation",2025,0.00712951625558441,0.0703605177600421,0.762784983099073,45.3001636370633,9.86890487905545,10.8410939456199,59.3878545602931,643.829310516947
"76","Bulgaria","BGR","nation",2030,0.00706612620519481,0.0788263204184491,0.767118988684863,44.5567949321926,11.1555211624296,9.73176198778042,58.083290323161,565.252756892153
"77","Bulgaria","BGR","nation",2035,0.00698782084883117,0.0887231844550265,0.780121005442234,45.3772201491536,12.69683158375,8.79275253964396,58.1668995355794,511.447153614681
"78","Bulgaria","BGR","nation",2040,0.00690951549246753,0.0993015062907326,0.797457027785394,45.7625027096049,14.3717032545896,8.03066396042995,57.3855406813471,460.843993399481
"79","Bulgaria","BGR","nation",2045,0.0068312101361039,0.110249387932889,0.814793050128555,46.1205888540244,16.1390713704159,7.39045418215413,56.6040528288105,418.329658955556
"80","Bulgaria","BGR","nation",2050,0.00674917595324675,0.122423893613478,0.845131089229086,46.8367611428633,18.1390875658805,6.903318170041,55.4195221780173,382.578594426497
"81","Canada","CAN","nation",2015,0.035702908,1.79450054964537,13.2634212894496,546.233372989105,50.262027665796,7.39114919305581,41.1834443820017,304.392981711291
"82","Canada","CAN","nation",2020,0.0375131962929577,1.94817193234867,13.2634212894496,542.994652329335,51.9329762554623,6.80813693556272,40.9392599751967,278.720087951741
"83","Canada","CAN","nation",2025,0.0393234845859155,2.12411970928881,13.4390957436145,555.764465216426,54.0165687668891,6.32690129696792,41.3543050677717,261.644606368492
"84","Canada","CAN","nation",2030,0.0410332013070423,2.2872019751189,13.6147701977794,551.230256292749,55.7402762217912,5.95258763584778,40.4876651081967,241.006374727397
"85","Canada","CAN","nation",2035,0.042642346456338,2.44778261378871,13.9661191061092,562.241906535965,57.4026247897737,5.70562068193313,40.2575620517245,229.694378646525
"86","Canada","CAN","nation",2040,0.0441509200338028,2.5953786162456,14.2296307873565,579.545928346732,58.7842476274226,5.48268013702783,40.7281072156614,223.299184450047
"87","Canada","CAN","nation",2045,0.0455589220394366,2.72665447960919,14.6688169227687,600.736414949224,59.8489682712192,5.37978575300498,40.9532969231328,220.319963325653
"88","Canada","CAN","nation",2050,0.0469669240450704,2.84149107877662,15.0201658310985,621.649296923734,60.49983337316,5.28601548084583,41.3876453771661,218.775734179458
"89","Chile","CHL","nation",2015,0.017969353,0.264551397536515,1.41723536209084,88.9193300539451,14.722366327631,5.35712672580089,62.7413995109203,336.113628134102
"90","Chile","CHL","nation",2020,0.0190869437875611,0.292809707162228,1.38675718226093,87.2422730050818,15.3408377171965,4.73603554916508,62.9109941675907,297.948704811026
"91","Chile","CHL","nation",2025,0.0200915197763802,0.333748581895425,1.44771354192075,91.4084357791002,16.6114154434342,4.33773690872002,63.1398637452989,273.884117379536
"92","Chile","CHL","nation",2030,0.020983080966457,0.37666575450984,1.55438717132544,93.879888272162,17.950926992655,4.12670159873754,60.3967209740351,249.239245002056
"93","Chile","CHL","nation",2035,0.0217365129580713,0.422188226519739,1.66106080073012,96.59848601453,19.4229970250574,3.934408153498,58.1546960665557,228.804310368455
"94","Chile","CHL","nation",2040,0.0223518157512229,0.466586419952334,1.76773443013481,102.565278462065,20.8746539943542,3.7886538367649,58.0207505797368,219.820539295899
"95","Chile","CHL","nation",2045,0.0228415465457722,0.51011978371008,1.85916896962454,107.914207786334,22.3329791915731,3.64457335118996,58.044324937355,211.546799854495
"96","Chile","CHL","nation",2050,0.0232057053417191,0.556312498717988,1.96584259902923,112.998338629204,23.9730915533885,3.53370201740834,57.480867840083,203.120258648884
"97","China","CHN","nation",2015,1.37122,8.91331659806084,118.83436337781,9185.99080946325,6.50028193729733,13.3322273556022,77.3007953958423,1030.59177898626
"98","China","CHN","nation",2020,1.40006038267728,11.8109126363791,130.708871513985,9446.56725479195,8.43600231998106,11.0667884470997,72.2718140350654,799.816876614202
"99","China","CHN","nation",2025,1.41518155553933,14.9556399705885,139.190663039824,9686.22353079764,10.568000912709,9.3069011632771,69.5896069409937,647.663593791131
"100","China","CHN","nation",2030,1.41788534141532,18.3397926198638,143.922609891081,9647.16020577856,12.9346090859203,7.84755928674999,67.0301922198284,526.023407447351
"101","China","CHN","nation",2035,1.41217734901044,21.8656960501786,148.922402790523,9532.65467722737,15.4836756626217,6.81077805384142,64.0108841826582,435.963925198234
